Ereignis-Nr,xcoord,ycoord,label,alti,slope,aspect,bulk_density,sand,usda_classes,silt,clay,coarse_fragments,avail_water_capacity,land_cover,tree_cover_density,obs_period_max,saturated_water_content,alpha_mrc,n_mrc
GR-2005-R-30118,9.80181045415905,46.9755728667194,1,1744.3,35.66652,200.65355,1.0680606,49.28659,8.0,34.032425,16.680986,28.18154,0.0940468,18.0,72.0,89.675026,5596.0,161.0,12958.0
GR-2005-R-30119,9.80108955888207,46.9771175994636,1,1814.3,30.420172,203.53735,1.0680606,53.720078,8.0,29.432968,16.846954,28.18154,0.09606072,24.0,0.0,89.66786,5596.0,161.0,12958.0
GR-2005-R-30120,9.80174242697153,46.977014144191,1,1820.4,29.649973,201.94121,1.0680606,53.720078,8.0,29.432968,16.846954,28.18154,0.09606072,24.0,0.0,89.66786,5596.0,161.0,12958.0
GR-2005-R-30121,9.8020170339674,46.9772784566864,1,1836.9,29.47851,198.5354,1.0709224,53.720078,8.0,29.432968,16.846954,28.18154,0.09606072,24.0,0.0,89.66786,5596.0,161.0,12958.0
GR-2005-R-30122,9.80117343353526,46.9760359645484,1,1767.3,20.384823,205.35655,1.0680606,49.28659,8.0,34.032425,16.680986,28.18154,0.0940468,24.0,58.0,89.676994,5596.0,161.0,12958.0
GR-2005-R-30123,9.80603533027373,46.9789503510915,1,1972.9,32.291946,175.71547,1.0780447,45.001904,9.0,38.30858,16.689518,29.51245,0.09606072,26.0,81.0,89.857376,5650.0,155.0,12807.0
GR-2005-R-30124,9.80834638970966,46.9776876819437,1,1907.8,21.291094,170.5975,1.0780447,45.001904,9.0,38.30858,16.689518,29.51245,0.088776164,24.0,88.0,90.00595,5619.0,161.0,12807.0
GR-2005-R-30125,9.80552028973358,46.9762162273954,1,1792.7,24.91723,153.12729,1.0534579,48.991333,9.0,37.211975,13.796692,29.51245,0.0940468,24.0,76.0,89.88643,5596.0,161.0,12958.0
GR-2005-R-30126,9.80453110431719,46.9761466651869,1,1804.8,25.242048,162.42342,1.0534579,48.991333,8.0,37.211975,13.796692,28.18154,0.0940468,24.0,87.0,89.81661,5596.0,161.0,12958.0
GR-2005-R-30127,9.80197744480304,46.9763793517888,1,1796.6,29.929678,199.02542,1.0680606,49.28659,8.0,34.032425,16.680986,28.18154,0.0940468,24.0,87.0,89.676994,5596.0,161.0,12958.0
GR-2005-R-30128,9.79377509032302,46.9767282290596,1,1652.7,23.658535,240.56517,1.0284344,46.186058,9.0,31.490433,22.323511,27.234438,0.107106805,18.0,0.0,89.25009,5649.0,183.0,13217.0
GR-2005-R-30129,9.8086332962648,46.9752519534332,1,1730.6,46.580154,171.18855,1.0534579,48.991333,9.0,37.211975,13.796692,29.51245,0.09404282,24.0,79.0,90.02397,5501.0,155.0,12903.0
GR-2005-R-30130,9.80718458019034,46.973707044915,1,1619.0,22.075127,168.26877,1.0534579,48.991333,9.0,37.211975,13.796692,29.51245,0.0940468,18.0,0.0,89.93648,5531.0,158.0,12914.0
GR-2005-R-30131,9.79154320870677,46.9783039436726,1,1664.9,20.832184,219.79005,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,18.0,67.0,89.17259,5640.0,174.0,13003.0
GR-2005-R-30132,9.79143351729098,46.9788011507693,1,1699.4,36.502182,218.94836,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,24.0,76.0,89.09547,5640.0,174.0,13003.0
GR-2005-R-30133,9.7913041179011,46.9788488036155,1,1699.4,36.502182,218.94836,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,24.0,76.0,89.09547,5640.0,174.0,13003.0
GR-2005-R-30134,9.79053165661993,46.97922462846,1,1669.0,32.570435,223.0333,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,24.0,87.0,89.09547,5640.0,174.0,13003.0
GR-2005-R-30135,9.79050801752232,46.9786851633659,1,1644.6,33.182823,222.53271,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,24.0,84.0,89.09547,5640.0,174.0,13003.0
GR-2005-R-30136,9.79092052546596,46.9775967946924,1,1599.1,21.93984,227.49207,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,24.0,77.0,89.10315,5574.0,179.0,13242.0
GR-2005-R-30137,9.80616520663262,46.9759329261448,1,1768.8,27.36653,130.97035,1.0534579,48.991333,9.0,37.211975,13.796692,29.51245,0.0940468,24.0,89.0,89.95623,5596.0,161.0,12958.0
GR-2005-R-30138,9.80653946088034,46.975475230515,1,1754.3,20.10872,170.6499,1.0534579,48.991333,9.0,37.211975,13.796692,29.51245,0.0940468,24.0,75.0,89.954185,5596.0,161.0,12958.0
GR-2005-R-30139,9.80910711859547,46.9740722496795,1,1644.0,32.142918,153.1458,1.0534579,48.991333,9.0,37.211975,13.796692,29.51245,0.09404282,24.0,84.0,90.08465,5501.0,155.0,12903.0
GR-2005-R-30140,9.7907727270664,46.9787247255901,1,1644.6,33.182823,222.53271,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,24.0,84.0,89.09547,5640.0,174.0,13003.0
GR-2005-R-30141,9.81215775975198,46.9821084147862,1,2032.6,25.430817,166.05109,1.0883003,47.65426,9.0,36.69138,15.654361,29.98967,0.088301785,26.0,0.0,90.16135,5648.0,155.0,12806.0
GR-2005-R-30142,9.8073430734538,46.9787883356804,1,1948.3,23.355782,148.14812,1.0780447,45.001904,9.0,38.30858,16.689518,29.51245,0.09606072,26.0,0.0,89.92664,5650.0,155.0,12807.0
GR-2005-R-30143,9.80731657598892,46.9692496910455,1,1453.0,18.63132,148.99895,1.0206817,48.11471,9.0,37.34324,14.54205,26.254702,0.08919443,18.0,0.0,89.89221,5570.0,165.0,12901.0
GR-2005-R-30144,9.79319912189189,46.9785848991473,1,1735.1,37.011353,214.49791,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.09610918,24.0,81.0,89.23399,5577.0,172.0,13219.0
GR-2005-R-30145,9.80947400584511,46.9674952049262,1,1385.8,23.794083,159.29367,1.0629008,46.18547,9.0,35.72721,18.08732,26.254702,0.10062859,24.0,0.0,90.011696,5587.0,178.0,13109.0
GR-2005-R-30146,9.80789969541836,46.9690576479435,1,1442.6,16.268507,158.31958,1.0629008,48.11471,9.0,37.34324,14.54205,26.254702,0.10062859,18.0,0.0,89.961075,5570.0,165.0,12901.0
GR-2005-R-30147,9.80654541053111,46.9756100960469,1,1754.3,20.10872,170.6499,1.0534579,48.991333,9.0,37.211975,13.796692,29.51245,0.0940468,24.0,75.0,89.954185,5596.0,161.0,12958.0
GR-2005-R-30148,9.80805504421931,46.9681095137834,1,1424.1,15.812914,89.78504,1.0629008,48.11471,9.0,37.34324,14.54205,26.254702,0.10062859,24.0,0.0,89.95209,5570.0,165.0,12901.0
GR-2005-R-30149,9.79675449501719,46.9772069005797,1,1730.2,29.447952,211.40303,1.0680606,53.720078,9.0,29.432968,16.846954,27.234438,0.1014217,18.0,81.0,89.38935,5659.0,175.0,13041.0
GR-2005-R-30150,9.79358198796999,46.9768221899631,1,1658.8,25.238916,235.26935,1.0284344,46.186058,9.0,31.490433,22.323511,27.234438,0.107106805,18.0,0.0,89.25009,5649.0,183.0,13217.0
GR-2005-R-30151,9.79508226491491,46.9780512312161,1,1754.9,32.87253,212.60767,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.1014217,18.0,68.0,89.311485,5577.0,172.0,13219.0
